id_localidad,nombre,partido,municipio,cp,latitud,longitud
8115,"28 DE NOVIEMBRE","GUER AIKE","28 DE NOVIEMBRE",9407,-51.5831947,-72.2113342
25778,"AGUADA A PIQUE",DESEADO,,9051,,
25793,"AGUADA ALEGRE",DESEADO,,9310,,
8044,"AGUADA ESCONDIDA",DESEADO,,9019,,
8043,"AGUADA GRANDE",DESEADO,,9053,,
25779,"AGUADA LA OVEJA",DESEADO,,9051,,
8045,"ALMA GRANDE",DESEADO,,9015,,
8116,"AN AIKE","GUER AIKE",,9400,,
8047,"BAHIA LANGARA",DESEADO,,9011,,
25794,"BAHIA LAURA",DESEADO,,9310,-48.3954239,-66.4786377
8146,"BAHIA TRANQUILA","LAGO ARGENTINO",,9405,,
16990,"BAJO CARACOLES","RIO CHICO","BAJO CARACOLES",9315,-47.4461490,-70.9285160
25801,"BAJO FUEGO",MAGALLANES,,9310,,
8117,"BELLA VISTA","GUER AIKE",,9400,-51.8701101,-70.5994988
8048,"CABO BLANCO",DESEADO,,9051,,
16982,"CABO DE LAS VIRGENES","GUER AIKE",,9400,,
8049,"CABO TRES PUNTAS",DESEADO,,9051,,
8050,"CALETA OLIVIA",DESEADO,"CALETA OLIVIA",9011,-46.4482079,-67.5220871
8051,CAMERON,DESEADO,,9017,,
25796,"CAMPAMENTO DOROTEA","GUER AIKE",,9407,,
16983,"CAMUZU AIKE","GUER AIKE",,9400,,
8018,"CAÑADA DE LAS VACAS","CORPEN AIKE",,9305,,
25802,"CAÑADON 11 DE SETIEMBRE",MAGALLANES,,9310,,
8171,"CAÑADON BOTELLO","LAGO BUENOS AIRES",,9040,,
8019,"CAÑADON DE LAS VACAS","CORPEN AIKE",,9300,,
8020,"CAÑADON DEL RANCHO","CORPEN AIKE",,9300,,
8021,"CAÑADON DEL TORO","CORPEN AIKE",,9303,,
8119,"CAÑADON FABRE","GUER AIKE",,9400,,
25807,"CAÑADON LEON","RIO CHICO",,9311,-46.6792000,-67.8352000
8187,"CAÑADON MOLINARI","RIO CHICO",,9311,-48.9250000,-70.7389000
8172,"CAÑADON PLUMA","LAGO BUENOS AIRES",,9017,,
8054,"CAÑADON SECO",DESEADO,"CAÑADON SECO",9013,-46.5589336,-67.6159509
16984,"CANCHA CARRERA","GUER AIKE",,9400,-51.2588234,-72.2265015
8120,CAP,"GUER AIKE",,9400,,
8055,"CARA MALA",DESEADO,,9313,,
8056,"CERRO ALTO",DESEADO,,9053,,
8057,"CERRO LA SETENTA",DESEADO,,9017,,
8064,"CERRO MANGRULLO",DESEADO,,9011,,
8065,"CERRO MORO",DESEADO,,9019,,
8097,"CERRO NEGRO",DESEADO,,9053,,
8121,"CERRO PALIQUE","GUER AIKE",,9400,,
8066,"CERRO PUNTUDO",DESEADO,,9051,,
25780,"CERRO REDONDO",DESEADO,,9051,,
8022,"CERRO REDONDO","CORPEN AIKE",,9303,,
8058,"CERRO RENZEL",DESEADO,,9017,,
8052,"CERRO SILVA",DESEADO,,9017,,
8122,"CHALL AIKE","GUER AIKE",,9400,,
27876,"CHARLES FUHR","LAGO ARGENTINO",,9405,-50.2709847,-71.8927536
8023,CHONQUE,"CORPEN AIKE",,9303,,
8059,"COLONIA CARLOS PELLEGRINI",DESEADO,,9017,,
8173,"COLONIA LEANDRO N ALEM","LAGO BUENOS AIRES",,9040,,
8024,"COMANDANTE LUIS PIEDRABUENA","CORPEN AIKE","COMANDANTE LUIS PIEDRA BUENA",9303,-49.9892957,-68.9169025
16985,CONDOR,"GUER AIKE",,9400,,
8147,"CONDOR CLIF","LAGO ARGENTINO",,9405,,
8123,"CORONEL GUARUMBA","GUER AIKE",,9400,,
16997,"CORONEL MARTIN IRIGOYEN","GUER AIKE",,9407,,
25788,"CUEVA DE LAS MANOS",DESEADO,,9017,,
25792,DESAMPARADOS,DESEADO,,9053,,
8025,"EL BAILE","CORPEN AIKE",,9303,,
8060,"EL BARBUCHO",DESEADO,,9053,,
8148,"EL CALAFATE","LAGO ARGENTINO","EL CALAFATE",9405,-50.3406139,-72.2684267
8149,"EL CERRITO","LAGO ARGENTINO",,9405,-50.6176643,-71.3663483
8150,"EL CHALTEN","LAGO ARGENTINO","EL CHALTEN",9301,-49.3341293,-72.8848877
25781,"EL CHARA",DESEADO,,9051,,
27894,"EL GUADAL",DESEADO,"LAS HERAS",9017,,
25776,"EL GUADAL","CORPEN AIKE",,9300,,
8062,"EL HUECO",DESEADO,,9051,,
25790,"EL LORO",DESEADO,,9051,,
8027,"EL PAN DE AZUCAR","CORPEN AIKE",,9303,,
8028,"EL PASO","CORPEN AIKE",,9303,,
8174,"EL PLUMA","LAGO BUENOS AIRES",,9017,-46.4734806,-70.0407913
8067,"EL POLVORIN",DESEADO,,9051,,
8175,"EL PORTEZUELO","LAGO BUENOS AIRES",,9040,-46.0420837,-71.6587372
8184,"EL SALADO",MAGALLANES,,9313,-48.7316742,-67.7014084
16988,"EL TURBIO","GUER AIKE","EL TURBIO",9407,-51.6805340,-72.0874860
8124,"EL ZURDO","GUER AIKE",,9401,,
8125,"ESTACION ING ATILIO CAPPA","GUER AIKE",,9400,,
8076,"FARO CABO GUARDIAN",DESEADO,,9313,,
8077,"FARO CAMPANA",DESEADO,,9313,,
8078,"FITZ ROY",DESEADO,"FITZ ROY",9019,-47.0248242,-67.2511284
8079,FLORADORA,DESEADO,,9053,,
8151,FORTALEZA,"LAGO ARGENTINO",,9401,,
8126,"FUENTES DEL COYLE","GUER AIKE",,9401,,
8029,GARMINUE,"CORPEN AIKE",,9303,,
8127,GAYPON,"GUER AIKE",,9407,-51.9958153,-71.4764633
16989,GLENCROSS,"GUER AIKE",,9407,,
8189,"GOBERNADOR GREGORES","RIO CHICO","GOBERNADOR GREGORES",9311,-48.7517395,-70.2436371
8128,"GOBERNADOR MAYER","GUER AIKE",,9401,,
8080,"GOBERNADOR MOYANO",DESEADO,,9050,-47.7785950,-68.5812225
8152,"GUARDAPARQUE FITZ ROY","LAGO ARGENTINO",,9301,,
8191,"H YRIGOYEN","RIO CHICO",,9315,-49.8031771,-68.6971850
16991,"HOTEL LAS HORQUETAS","RIO CHICO",,9315,,
8081,"INDIA MUERTA",DESEADO,,9017,,
25795,"INGENIERO ATILIO CAPPA","GUER AIKE",,9400,,
8176,"INGENIERO PALLAVICINI","LAGO BUENOS AIRES",,9040,-46.2762583,-71.7130099
8082,JARAMILLO,DESEADO,JARAMILLO,9053,-47.1854553,-67.1451263
8083,JELAINA,DESEADO,,9015,,
8129,"JULIA DUFOUR","GUER AIKE","JULIA DUFOUR",9407,-51.5406110,-72.2398970
25789,"KILOMETRO 8",DESEADO,,9050,,
8084,"KOLUEL KAIKE",DESEADO,"NTRA SRA DOLORES KOLUEL KAIKE",9019,-46.7168267,-68.2279615
25782,"LA AGUADA",DESEADO,,9051,,
8085,"LA ANTONIA",DESEADO,,9015,,
8086,"LA ARGENTINA",DESEADO,,9017,,
8177,"LA ASTURIANA","LAGO BUENOS AIRES",,9040,,
8030,"LA BARRETA","CORPEN AIKE",,9303,,
8087,"LA CENTRAL",DESEADO,,9051,,
8130,"LA ESPERANZA","GUER AIKE",,9401,-51.0254593,-70.8790817
25783,"LA ESTELA",DESEADO,,9051,,
8053,"LA ESTHER",DESEADO,,9011,,
25791,"LA FECUNDIDAD",DESEADO,,9051,,
8153,"LA FEDERICA","LAGO ARGENTINO",,9301,,
8154,"LA FLORIDA","LAGO ARGENTINO",,9301,,
8088,"LA GUARDIA",DESEADO,,9015,,
8031,"LA JULIA","CORPEN AIKE",,9303,,
8155,"LA LEONA","LAGO ARGENTINO",,9303,-49.8191541,-72.0481991
8089,"LA MADRUGADA",DESEADO,,9051,,
16994,"LA MANCHURIA","LAGO BUENOS AIRES",,9311,-48.2150536,-69.8199005
8090,"LA MARGARITA",DESEADO,,9051,,
8178,"LA MARIA","LAGO BUENOS AIRES",,9017,,
25806,"LA PENINSULA","RIO CHICO",,9311,-47.4542999,-71.8450317
8032,"LA PIGMEA","CORPEN AIKE",,9303,,
8033,"LA PORTEÑA","CORPEN AIKE",,9303,,
8091,"LA PROTEGIDA",DESEADO,,9051,,
8092,"LA ROSA",DESEADO,,9015,,
8093,"LA ROSADA",DESEADO,,9051,,
25784,"LA VICTORIA",DESEADO,,9051,,
8094,"LA VIOLETA",DESEADO,,9051,,
8157,"LAGO ARGENTINO","LAGO ARGENTINO",,9405,,
25787,"LAGO BUENOS AIRES",DESEADO,,9017,,
8179,"LAGO BUENOS AIRES","LAGO BUENOS AIRES",,9040,-46.5412323,-71.6282714
8190,"LAGO CARDIEL","RIO CHICO",,9301,-48.9509354,-71.3578949
27972,"LAGO POSADAS","RIO CHICO","LAGO POSADAS",9315,-47.5667812,-71.7434756
25804,"LAGO PUEYRREDON","RIO CHICO",,9310,-47.3810650,-71.9248690
8158,"LAGO ROCA","LAGO ARGENTINO",,9405,,
8159,"LAGO SAN MARTIN","LAGO ARGENTINO",,9301,,
8192,"LAGO STROBEL","RIO CHICO",,9311,-48.4029387,-71.2760460
8160,"LAGO TAR","LAGO ARGENTINO",,9301,,
8131,"LAGUNA COLORADA","GUER AIKE",,9400,,
8034,"LAGUNA GRANDE","CORPEN AIKE",,9303,-49.5060866,-70.1589020
8095,"LAS HERAS",DESEADO,"LAS HERAS",9017,-46.5419083,-68.9372406
8132,"LAS HORQUETAS","GUER AIKE",,9400,-51.4221382,-70.2049026
8096,"LAS MASITAS",DESEADO,,9017,,
8035,"LAS MERCEDES","CORPEN AIKE",,9303,,
8107,"LAS PIRAMIDES",DESEADO,,9017,,
25786,"LEANDRO NICEFORO ALEM",DESEADO,,9017,,
8180,"LOS ANTIGUOS","LAGO BUENOS AIRES","LOS ANTIGUOS",9041,-46.5441246,-71.6453476
8185,"LOS MANANTIALES",MAGALLANES,,9313,,
27895,"LOS PERALES",DESEADO,"LAS HERAS",9017,,
8098,"MATA MAGALLANES",DESEADO,,9017,,
8099,MAZAREDO,DESEADO,,9051,,
8061,"MESETA GUENGUE",DESEADO,,9017,,
8133,"MINA 3","GUER AIKE","MINA 3",9407,-51.5487660,-72.2333910
8100,MINERALES,DESEADO,,9015,-46.8413696,-67.7331848
16986,"MONTE AYMOND","GUER AIKE",,9400,,
8181,"MONTE CEBALLOS","LAGO BUENOS AIRES",,9040,,
8101,"MONTE VERDE",DESEADO,,9019,,
8134,"MORRO CHICO","GUER AIKE",,9407,,
8182,"NACIMIENTOS DEL PLUMA","LAGO BUENOS AIRES",,9040,,
8135,"PALERMO AIKE","GUER AIKE",,9400,,
8136,"PALI AIKE","GUER AIKE",,9400,,
8102,"PAMPA VERDUM",DESEADO,,9017,,
8161,"PASO CHARLES FHUR","LAGO ARGENTINO",,9405,,
8036,"PASO DE LOS INDIOS","CORPEN AIKE",,9303,,
8193,"PASO DEL AGUILA","RIO CHICO",,9311,-47.8166670,-71.9833330
8137,"PASO DEL MEDIO","GUER AIKE",,9400,,
8037,"PASO DEL RIO SANTA CRUZ","CORPEN AIKE",,9303,,
25803,"PASO GREGORES","RIO CHICO",,9050,-47.8000000,-66.5833330
8038,"PASO IBAÑEZ","CORPEN AIKE",,9303,,
8162,"PASO RIO LA LEONA","LAGO ARGENTINO",,9301,,
16993,"PASO ROBALLO","RIO CHICO",,9315,,
8104,PELLEGRINI,DESEADO,,9017,,
8163,"PENINSULA MAIPU","LAGO ARGENTINO",,9301,,
8183,"PERITO MORENO","LAGO BUENOS AIRES","PERITO MORENO",9040,-46.5995560,-70.9131851
8105,"PICO TRUNCADO",DESEADO,"PICO TRUNCADO",9015,-46.7994576,-67.9615631
8106,"PIEDRA CLAVADA",DESEADO,,9017,-46.5948067,-68.5060043
8164,"PIEDRA CLAVADA","LAGO ARGENTINO",,9301,,
28069,"PLAYA BONITA",DESEADO,"CALETA OLIVIA",9011,-46.0089990,-67.5967120
8138,"PUEBLO NUEVO","GUER AIKE",,9407,,
8139,"PUENTE BLANCO","GUER AIKE",,9407,-51.8939547,-71.5936473
8108,"PUERTO DESEADO",DESEADO,"PUERTO DESEADO",9050,-47.7515984,-65.8968506
8186,"PUERTO SAN JULIAN",MAGALLANES,"PUERTO SAN JULIAN",9310,-49.3070488,-67.7288513
8039,"PUERTO SANTA CRUZ","CORPEN AIKE","PUERTO SANTA CRUZ",9300,-50.0225601,-68.5276566
8165,"PUNTA BANDERA","LAGO ARGENTINO","AREA SIN GOBIERNO",9405,-50.3139293,-72.7930384
8166,"PUNTA DEL LAGO VIEDMA","LAGO ARGENTINO",,9301,-49.8020978,-72.1821137
8140,"PUNTA DEL MONTE","GUER AIKE",,9400,,
16987,"PUNTA LOYOLA","GUER AIKE",,9400,,
8109,"PUNTA MERCEDES",DESEADO,,9313,,
8167,"QUIEN SABE","LAGO ARGENTINO",,9405,,
8141,"RINCON DE LOS MORROS","GUER AIKE",,9407,,
8168,"RIO BOTE","LAGO ARGENTINO",,9405,-50.2613654,-71.7311497
25798,"RIO CALAFATE","LAGO ARGENTINO",,9405,,
8040,"RIO CHICO","CORPEN AIKE",,9303,,
25800,"RIO FENIX","LAGO BUENOS AIRES",,9040,,
26286,"RIO GALLEGOS","GUER AIKE","RIO GALLEGOS",9400,-51.6196709,-69.2219391
25799,"RIO MITRE","LAGO ARGENTINO",,9405,-50.3964099,-72.7400431
8143,"RIO TURBIO","GUER AIKE","RIO TURBIO",9407,-51.5328384,-72.3341032
8144,ROSPENTEK,"GUER AIKE",ROSPENTEK,9407,-51.6685579,-72.1520620
25797,"ROSPENTEK AIKE","GUER AIKE",,9407,,
27890,"SAN BENITO","GUER AIKE",,9400,,
8110,SARAI,DESEADO,,9051,,
8041,"SIERRA DE LA VENTANA","CORPEN AIKE",,9303,,
16992,"TAMEL AIKE","RIO CHICO",,9315,-48.3010063,-70.9719086
8145,"TAPI AIKE","GUER AIKE",,9420,,
8042,"TAUEL AIKE","CORPEN AIKE",,9303,,
8111,TEHUELCHES,DESEADO,,9019,-46.9280943,-67.4869477
8112,TELLIER,DESEADO,TELLIER,9050,-47.6487690,-66.0446360
8113,"TRES CERROS",DESEADO,,9050,-48.1379397,-67.6965871
8169,"TRES LAGOS","LAGO ARGENTINO","TRES LAGOS",9301,-49.5990150,-71.4458020
25785,"TRES PUNTAS",DESEADO,,9051,,
8194,"TUCU TUCU","RIO CHICO",,9311,-48.4333330,-71.8500000
8170,"VENTISQUERO MORENO","LAGO ARGENTINO",,9405,-50.4762778,-73.0628309
16995,"YACIMIENTO CERRO VANGUARDIA",MAGALLANES,,9310,-48.3864602,-68.3111424
8114,"YEGUA MUERTA",DESEADO,,9017,,
8046,"ZANJON DEL PESCADO",DESEADO,,9015,,
